date,open,close,high,low,volume
2008-01-29,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-01-30,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-01-31,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-02-03,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-02-04,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-02-05,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-02-06,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-02-07,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-02-10,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-02-11,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-02-12,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-02-13,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-02-14,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-02-17,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-02-18,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-02-19,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-02-20,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-02-21,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-02-24,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-02-25,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-02-26,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-02-27,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-02-28,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-03-02,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-03-03,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-03-04,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-03-05,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-03-06,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-03-09,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-03-10,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-03-11,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-03-12,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-03-13,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-03-16,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-03-17,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-03-18,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-03-19,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-03-20,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-03-23,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-03-24,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-03-25,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-03-26,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-03-27,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-03-30,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-03-31,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-04-01,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-04-02,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-04-03,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-04-06,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-04-07,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-04-08,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-04-09,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-04-10,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-04-13,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-04-14,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-04-15,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-04-16,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-04-17,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-04-20,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-04-21,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-04-22,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-04-23,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-04-24,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-04-27,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-04-28,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-04-29,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-04-30,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-05-01,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-05-04,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-05-05,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-05-06,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-05-07,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-05-08,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-05-11,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-05-12,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-05-13,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-05-14,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-05-15,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-05-18,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-05-19,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-05-20,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-05-21,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-05-22,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-05-25,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-05-26,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-05-27,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-05-28,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-05-29,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-06-01,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-06-02,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-06-03,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-06-04,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-06-05,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-06-08,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-06-09,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-06-10,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-06-11,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-06-12,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-06-15,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-06-16,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-06-17,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-06-18,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-06-19,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-06-22,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-06-23,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-06-24,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-06-25,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-06-26,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-06-29,0.13958024978637695,0.13958024978637695,0.13958024978637695,0.13958024978637695,0
2008-06-30,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-07-01,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-07-02,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-07-03,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-07-06,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-07-07,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-07-08,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-07-09,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-07-10,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-07-13,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-07-14,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-07-15,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-07-16,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-07-17,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-07-20,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-07-21,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-07-22,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-07-23,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-07-24,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-07-27,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-07-28,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-07-29,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-07-30,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-07-31,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-08-03,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-08-04,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-08-05,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-08-06,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-08-07,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-08-10,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-08-11,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-08-12,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-08-13,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-08-14,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-08-17,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-08-18,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-08-19,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-08-20,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-08-21,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-08-24,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-08-25,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-08-26,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-08-27,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-08-28,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-08-31,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-09-01,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-09-02,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-09-03,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-09-04,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-09-07,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-09-08,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-09-09,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-09-10,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-09-11,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-09-14,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-09-15,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-09-16,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-09-17,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-09-18,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-09-21,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-09-22,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-09-23,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-09-24,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-09-25,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-09-28,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-09-29,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-09-30,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-10-01,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-10-02,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-10-05,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-10-06,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-10-07,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-10-08,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-10-09,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-10-12,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-10-13,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-10-14,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-10-15,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-10-16,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-10-19,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-10-20,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-10-21,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-10-22,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-10-23,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-10-26,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-10-27,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-10-28,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-10-29,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-10-30,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-11-02,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-11-03,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-11-04,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-11-05,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-11-06,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-11-09,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-11-10,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-11-11,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-11-12,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-11-13,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-11-16,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-11-17,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-11-18,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-11-19,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-11-20,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-11-23,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-11-24,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-11-25,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-11-26,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-11-27,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-11-30,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-12-01,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-12-02,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-12-03,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-12-04,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-12-10,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-12-11,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-12-14,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-12-15,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-12-16,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-12-17,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-12-18,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-12-22,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-12-23,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-12-24,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-12-25,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-12-30,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2008-12-31,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-01-05,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-01-06,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-01-08,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-01-12,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-01-13,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-01-14,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-01-15,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-01-19,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-01-20,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-01-21,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-01-22,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-01-26,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-01-27,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-01-28,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-01-29,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-02-02,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-02-03,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-02-04,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-02-05,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-02-09,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-02-10,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-02-11,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-02-12,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-02-16,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-02-17,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-02-18,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-02-19,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-02-23,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-02-24,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-02-25,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-02-26,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-03-02,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-03-03,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-03-04,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-03-05,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-03-10,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-03-11,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-03-12,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-03-16,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-03-17,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-03-18,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-03-19,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-03-23,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-03-24,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-03-25,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-03-26,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-03-30,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-03-31,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-04-01,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-04-02,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-04-06,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-04-07,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-04-08,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-04-09,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-04-13,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-04-14,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-04-15,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-04-16,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-04-21,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-04-22,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-04-23,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-04-27,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-04-28,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-04-29,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-04-30,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-05-04,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-05-05,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-05-06,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-05-07,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-05-11,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-05-12,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-05-13,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-05-14,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
2009-05-18,0.25326842069625854,0.25326842069625854,0.25326842069625854,0.25326842069625854,0
